Source,Destination,Distance (km)
KOW,XMN,367.0531489955296
KWE,CTU,528.6171723752445
KWE,HGH,1394.3037637636323
KWE,JJN,1196.834402013481
KWE,KMG,419.14717130753723
KWE,LHW,1149.38400494777
KWE,SYX,954.175565572972
KWE,WNZ,1396.8921405571707
KWE,XUZ,1327.1859500996193
KWL,SJW,1517.1974331115578
KWL,SYX,771.651680057942
LHW,CKG,806.2550757364188
LHW,CTU,660.824767001687
LHW,DNH,868.2475034666295
LHW,JGN,592.187077937729
LHW,KWE,1149.38400494777
LHW,TSN,1238.7346476562368
LJG,CKG,711.9027459800927
LJG,CTU,564.1709662419789
LJG,MIG,685.1392897810244
LUM,CTU,869.8349017422847
LUM,KMG,450.8178912051768
LXA,CKG,1521.7658654202028
LXA,CTU,1263.3528240639637
LXA,GXH,1262.9859757705644
LXA,XIY,1776.3068843562012
LXA,XNN,1312.1291335777557
LYI,XIY,884.7635470959457
LZY,CTU,936.6210998462973
MEL,CTU,8697.440511425402
MIG,LJG,685.1392897810244
MIG,NKG,1337.1019433500946
MIG,SYX,1533.1204969922017
MIG,XNN,619.1211745582664
NGB,CKG,1429.4463772619022
NGB,HAK,1560.7775520086227
NGB,HRB,1805.401778766208
NGB,KHN,549.5442245749061
NGB,KMG,1899.9369957659085
NGB,SHE,1326.0489236321907
NGB,SYX,1769.1118417222453
NKG,CGQ,1487.0688180684294
NKG,CKG,1188.7662294149957
NKG,CTU,1423.9540149608888
NKG,DYG,858.6327054413978
NKG,HRB,1669.6233296940966
NKG,KMG,1721.6746832886968
NKG,MIG,1337.1019433500946
NKG,SYX,1769.8785741228135
NNG,CKG,805.2729963650821
NNG,CTU,980.508989428873
NNG,SGN,1320.844447792289
NNG,WUH,1088.4979407839191
NZH,HRB,798.9665289173031
PEK,CKG,1464.0097081882318
PEK,CTU,1556.0636495367114
PEK,WXN,1267.4784869780121
PEK,ZHY,1027.8278366976338
PVG,CKG,1461.2107347843464
PVG,CTU,1703.886492923019
PVG,SPN,3014.1739363730558
PZI,CKG,591.9593714747509
PZI,CTU,495.63007549118896
SGN,NNG,1320.844447792289
SHE,CSX,1761.2296124323539
SHE,CTU,2134.8229959291966
SHE,DSN,1173.869097439206
SHE,NGB,1326.0489236321907
SHE,TYN,1023.6800406850958
SHE,XUZ,990.0669504087679
SHE,YVR,8002.807050578799
SJW,CTU,1304.2791055316134
SJW,HRB,1254.4828682920177
